group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Teste Primalidade,Teste Primalidade ,896,,,59242659.0,ns,3
Teste Primalidade,Teste Primalidade ,896,,,59608403.0,ns,3
Teste Primalidade,Teste Primalidade ,896,,,58694636.0,ns,3
Teste Primalidade,Teste Primalidade ,896,,,58161243.0,ns,3
Teste Primalidade,Teste Primalidade ,896,,,59460012.0,ns,3
Teste Primalidade,Teste Primalidade ,896,,,59015614.0,ns,3
Teste Primalidade,Teste Primalidade ,896,,,59300493.0,ns,3
Teste Primalidade,Teste Primalidade ,896,,,59203939.0,ns,3
Teste Primalidade,Teste Primalidade ,896,,,59563645.0,ns,3
Teste Primalidade,Teste Primalidade ,896,,,58665362.0,ns,3
Teste Primalidade,Teste Primalidade ,896,,,58365879.0,ns,3
Teste Primalidade,Teste Primalidade ,896,,,58693259.0,ns,3
Teste Primalidade,Teste Primalidade ,896,,,57626103.0,ns,3
Teste Primalidade,Teste Primalidade ,896,,,58843755.0,ns,3
Teste Primalidade,Teste Primalidade ,896,,,59050000.0,ns,3
Teste Primalidade,Teste Primalidade ,896,,,59057854.0,ns,3
Teste Primalidade,Teste Primalidade ,896,,,59157704.0,ns,3
Teste Primalidade,Teste Primalidade ,896,,,58714846.0,ns,3
Teste Primalidade,Teste Primalidade ,896,,,59562741.0,ns,3
Teste Primalidade,Teste Primalidade ,896,,,58172795.0,ns,3
Teste Primalidade,Teste Primalidade ,896,,,58907366.0,ns,3
Teste Primalidade,Teste Primalidade ,896,,,58917934.0,ns,3
Teste Primalidade,Teste Primalidade ,896,,,59054483.0,ns,3
Teste Primalidade,Teste Primalidade ,896,,,58649526.0,ns,3
Teste Primalidade,Teste Primalidade ,896,,,58800480.0,ns,3
Teste Primalidade,Teste Primalidade ,896,,,58723835.0,ns,3
Teste Primalidade,Teste Primalidade ,896,,,59005790.0,ns,3
Teste Primalidade,Teste Primalidade ,896,,,57926498.0,ns,3
Teste Primalidade,Teste Primalidade ,896,,,59327755.0,ns,3
Teste Primalidade,Teste Primalidade ,896,,,57683223.0,ns,3
Teste Primalidade,Teste Primalidade ,896,,,58339782.0,ns,3
Teste Primalidade,Teste Primalidade ,896,,,58468010.0,ns,3
Teste Primalidade,Teste Primalidade ,896,,,59197189.0,ns,3
Teste Primalidade,Teste Primalidade ,896,,,59775418.0,ns,3
Teste Primalidade,Teste Primalidade ,896,,,58573678.0,ns,3
Teste Primalidade,Teste Primalidade ,896,,,59391405.0,ns,3
Teste Primalidade,Teste Primalidade ,896,,,58252133.0,ns,3
Teste Primalidade,Teste Primalidade ,896,,,57748880.0,ns,3
Teste Primalidade,Teste Primalidade ,896,,,58379649.0,ns,3
Teste Primalidade,Teste Primalidade ,896,,,58823398.0,ns,3
Teste Primalidade,Teste Primalidade ,896,,,58468982.0,ns,3
Teste Primalidade,Teste Primalidade ,896,,,58574945.0,ns,3
Teste Primalidade,Teste Primalidade ,896,,,59200516.0,ns,3
Teste Primalidade,Teste Primalidade ,896,,,59127662.0,ns,3
Teste Primalidade,Teste Primalidade ,896,,,58253851.0,ns,3
Teste Primalidade,Teste Primalidade ,896,,,60465940.0,ns,3
Teste Primalidade,Teste Primalidade ,896,,,58876750.0,ns,3
Teste Primalidade,Teste Primalidade ,896,,,58406731.0,ns,3
Teste Primalidade,Teste Primalidade ,896,,,59231919.0,ns,3
Teste Primalidade,Teste Primalidade ,896,,,58568899.0,ns,3
Teste Primalidade,Teste Primalidade ,896,,,58682286.0,ns,3
Teste Primalidade,Teste Primalidade ,896,,,58734564.0,ns,3
Teste Primalidade,Teste Primalidade ,896,,,59465971.0,ns,3
Teste Primalidade,Teste Primalidade ,896,,,58407189.0,ns,3
Teste Primalidade,Teste Primalidade ,896,,,58259203.0,ns,3
Teste Primalidade,Teste Primalidade ,896,,,58145160.0,ns,3
Teste Primalidade,Teste Primalidade ,896,,,60104310.0,ns,3
Teste Primalidade,Teste Primalidade ,896,,,59767506.0,ns,3
Teste Primalidade,Teste Primalidade ,896,,,59425484.0,ns,3
Teste Primalidade,Teste Primalidade ,896,,,60686331.0,ns,3
Teste Primalidade,Teste Primalidade ,896,,,58593231.0,ns,3
Teste Primalidade,Teste Primalidade ,896,,,58864856.0,ns,3
Teste Primalidade,Teste Primalidade ,896,,,59141018.0,ns,3
Teste Primalidade,Teste Primalidade ,896,,,59120580.0,ns,3
Teste Primalidade,Teste Primalidade ,896,,,59330111.0,ns,3
Teste Primalidade,Teste Primalidade ,896,,,59171369.0,ns,3
Teste Primalidade,Teste Primalidade ,896,,,58994028.0,ns,3
Teste Primalidade,Teste Primalidade ,896,,,58436598.0,ns,3
Teste Primalidade,Teste Primalidade ,896,,,58779080.0,ns,3
Teste Primalidade,Teste Primalidade ,896,,,59556798.0,ns,3
Teste Primalidade,Teste Primalidade ,896,,,58426161.0,ns,3
Teste Primalidade,Teste Primalidade ,896,,,58827256.0,ns,3
Teste Primalidade,Teste Primalidade ,896,,,59245038.0,ns,3
Teste Primalidade,Teste Primalidade ,896,,,59026611.0,ns,3
Teste Primalidade,Teste Primalidade ,896,,,58590831.0,ns,3
Teste Primalidade,Teste Primalidade ,896,,,58370049.0,ns,3
Teste Primalidade,Teste Primalidade ,896,,,59354280.0,ns,3
Teste Primalidade,Teste Primalidade ,896,,,58765446.0,ns,3
Teste Primalidade,Teste Primalidade ,896,,,59350820.0,ns,3
Teste Primalidade,Teste Primalidade ,896,,,58666509.0,ns,3
Teste Primalidade,Teste Primalidade ,896,,,59029254.0,ns,3
Teste Primalidade,Teste Primalidade ,896,,,59121271.0,ns,3
Teste Primalidade,Teste Primalidade ,896,,,59548022.0,ns,3
Teste Primalidade,Teste Primalidade ,896,,,58889300.0,ns,3
Teste Primalidade,Teste Primalidade ,896,,,58462721.0,ns,3
Teste Primalidade,Teste Primalidade ,896,,,58605151.0,ns,3
Teste Primalidade,Teste Primalidade ,896,,,58753135.0,ns,3
Teste Primalidade,Teste Primalidade ,896,,,57937910.0,ns,3
Teste Primalidade,Teste Primalidade ,896,,,58686121.0,ns,3
Teste Primalidade,Teste Primalidade ,896,,,59314087.0,ns,3
Teste Primalidade,Teste Primalidade ,896,,,59217114.0,ns,3
Teste Primalidade,Teste Primalidade ,896,,,58901870.0,ns,3
Teste Primalidade,Teste Primalidade ,896,,,58443439.0,ns,3
Teste Primalidade,Teste Primalidade ,896,,,59326506.0,ns,3
Teste Primalidade,Teste Primalidade ,896,,,59650148.0,ns,3
Teste Primalidade,Teste Primalidade ,896,,,59315808.0,ns,3
Teste Primalidade,Teste Primalidade ,896,,,59449042.0,ns,3
Teste Primalidade,Teste Primalidade ,896,,,58587899.0,ns,3
Teste Primalidade,Teste Primalidade ,896,,,59364328.0,ns,3
Teste Primalidade,Teste Primalidade ,896,,,59149491.0,ns,3
